StopID;DIVA;StopText;Municipality;MunicipalityID;Longitude;Latitude
2976;60201099;Richthausenstraße;Wien;49000001;16.3227121;48.2236607
2977;60201490;Wilhelminenstraße;Wien;49000001;16.3193344;48.2158979
2978;60200669;Familienplatz;Wien;49000001;16.3188404;48.2139166
2979;60200508;Hernals, Wattgasse;Wien;49000001;16.3217240;48.2218892
2980;60200217;Czartoryskigasse;Wien;49000001;16.3277337;48.2279158
2981;60200393;Gersthof S;Wien;49000001;16.3287218;48.2314464
2982;60201397;Türkenschanzplatz;Wien;49000001;16.3280840;48.2346357
2983;60200144;Blaasstraße;Wien;49000001;16.3419810;48.2370709
2984;60200474;Hardtgasse;Wien;49000001;16.3480176;48.2370230
2985;60200376;Gatterburggasse;Wien;49000001;16.3490956;48.2394941
2986;60201253;Silbergasse;Wien;49000001;16.3490148;48.2431136
2987;60201138;Saarplatz;Wien;49000001;16.3498772;48.2452075
2988;60200109;Barawitzkagasse;Wien;49000001;16.3566594;48.2445494
2989;60200439;Gunoldstraße;Wien;49000001;16.3612768;48.2445793
2990;60201441;Waldgasse;Wien;49000001;16.3805636;48.1731301
2991;60201095;Reumannplatz U;Wien;49000001;16.3793329;48.1745499
2992;60200272;Eisenstadtplatz;Wien;49000001;16.3843815;48.1693858
2993;60201414;Urselbrunnengasse;Wien;49000001;16.3900947;48.1651559
2994;60201377;Theodor-Sickel-Gasse;Wien;49000001;16.3922507;48.1604462
2996;60200721;Kronawettergasse;Wien;49000001;16.3960416;48.1547414
2997;60200315;Filmteichstraße;Wien;49000001;16.3972902;48.1523861
2998;;Laaer Berg, Kurpark Nordeingang;;;0;0
2999;60200569;Höchstädtplatz;Wien;49000001;16.3772488;48.2388419
3000;;Weißenböckstraße;;;0;0
3001;60200813;Lorenz-Böhler-Unfallkrankenhaus;Wien;49000001;16.3838155;48.2363828
3002;60200813;Lorenz-Böhler-Unfallkrankenhaus;Wien;49000001;16.3837436;48.2358862
3003;60200380;Gaußplatz;Wien;49000001;16.3700982;48.2259170
3004;;Kafkastraße (Schleife);;;0;0
3005;60201048;Prinzgasse;Wien;49000001;16.4820463;48.2399248
3006;;Hasibederstraße;;;0;0
3007;60200487;Hausfeldstraße S;Wien;49000001;16.4862055;48.2341390
3008;;Hasibederstraße;;;0;0
3009;60200038;Zanggasse;Wien;49000001;16.4842561;48.2391710
3010;60200403;Gladiolenweg;Wien;49000001;16.4785698;48.2374897
3011;60200487;Hausfeldstraße  U;Wien;49000001;16.4866996;48.2330740
3012;60200729;Laaer Berg, Kurpark Nordeingang;Wien;49000001;16.4017369;48.1519186
3013;60200315;Filmteichstraße;Wien;49000001;16.3969489;48.1528955
3014;60200721;Kronawettergasse;Wien;49000001;16.3961314;48.1552507
3015;60200693;Lehenstraße;Wien;49000001;16.5225783;48.2307103
3016;60201377;Theodor-Sickel-Gasse;Wien;49000001;16.3924932;48.1604283
3017;60201414;Urselbrunnengasse;Wien;49000001;16.3909392;48.1646885
3018;60200272;Eisenstadtplatz;Wien;49000001;16.3846779;48.1695116
3027;60201441;Waldgasse;Wien;49000001;16.3810307;48.1731721
3038;60201687;Panethgasse;Wien;49000001;16.4489344;48.2590665
3039;60201688;Weingartenallee;Wien;49000001;16.4963115;48.2821347
3040;60201689;Süßenbrunn, Sportpark;Wien;49000001;16.4991592;48.2854464
3042;;Arnikaweg;;;0;0
3043;60200238;Siebeckstraße;Wien;49000001;16.4344086;48.2420846
3045;60200631;Kagraner Brücke;Wien;49000001;16.4305099;48.2390453
3046;60201141;Saikogasse;Wien;49000001;16.4344535;48.2505912
3047;60200081;Arminenstraße;Wien;49000001;16.4369868;48.2363529
3048;60200238;Siebeckstraße;Wien;49000001;16.4348578;48.2421444
3049;60201316;Steinbrechergasse;Wien;49000001;16.4386127;48.2336604
3050;60200121;Benatzkygasse;Wien;49000001;16.4397087;48.2298786
3051;60200746;Veitschiweg;Wien;49000001;16.4404453;48.2261504
3052;60200627;Kagran U;Wien;49000001;16.4337079;48.2432811
3053;60201241;Siedlung Einigkeit;Wien;49000001;16.4407777;48.2217635
3054;60200773;Leopoldauer Straße;Wien;49000001;16.4357561;48.2626667
3055;60201244;Siedlung Sonnheim;Wien;49000001;16.4408406;48.2196388
3056;60200273;Eisstoßgasse;Wien;49000001;16.4408046;48.2179390
3057;60200627;Kagran U;Wien;49000001;16.4331600;48.2436281
3058;60200627;Kagran U;Wien;49000001;16.4337079;48.2432811
3060;60200631;Kagraner Brücke;Wien;49000001;16.4307255;48.2398770
3061;60200031;Alte Donau;Wien;49000001;16.4256501;48.2371427
3062;60200618;Julius-Payer-Gasse;Wien;49000001;16.4201524;48.2342108
3064;;Kagran U;;;0;0
3066;60200633;Kagraner Platz U;Wien;49000001;16.4436703;48.2509441
3067;60200627;Kagran U;Wien;49000001;16.4337618;48.2433948
3068;60200716;Kraygasse;Wien;49000001;16.4488805;48.2486531
3069;60200716;Kraygasse;Wien;49000001;16.4498417;48.2484976
3071;60201681;Kolletschkagasse;Wien;49000001;16.4798724;48.2390214
3076;60200618;Julius-Payer-Gasse;Wien;49000001;16.4211854;48.2342827
3077;60200031;Alte Donau;Wien;49000001;16.4250392;48.2363769
3083;60200329;Fischergrund;Wien;49000001;16.4408226;48.2160595
3084;60200868;Memlinggasse;Wien;49000001;16.5216620;48.2284005
3085;60200627;Kagran U;Wien;49000001;16.4336900;48.2432512
3086;;Kagran, U-Bahn;;;0;0
3087;60200584;Lieblgasse;Wien;49000001;16.4634781;48.2573799
3088;60200785;Tillmanngasse;Wien;49000001;16.4586362;48.2589828
3089;60201050;Puchgasse;Wien;49000001;16.4550699;48.2600055
3090;60200592;Hosnedlgasse Nord;Wien;49000001;16.4648885;48.2604720
3091;60201122;Obachgasse;Wien;49000001;16.4642686;48.2615066
3092;60200822;Puchgasse, Maculangasse;Wien;49000001;16.4559143;48.2614946
3093;60201050;Puchgasse;Wien;49000001;16.4548363;48.2600653
3094;60200785;Tillmanngasse;Wien;49000001;16.4588428;48.2585103
3095;60200955;Lieblgasse;Wien;49000001;16.4615198;48.2573799
3096;60200572;Senekowitschgasse;Wien;49000001;16.4588967;48.2542818
3097;60200550;Hosnedlgasse Süd;Wien;49000001;16.4617444;48.2548021
3098;60200822;Puchgasse, Maculangasse;Wien;49000001;16.4560490;48.2614587
3099;60201386;Voitgasse;Wien;49000001;16.4609898;48.2623618
3100;60200483;Haspingerplatz;Wien;49000001;16.4054200;48.2772206
3101;60200860;Mayerweckstraße;Wien;49000001;16.3812104;48.2939458
3102;60200495;Heinrich-von-Buol-Gasse;Wien;49000001;16.4279318;48.2673132
3104;60201851;Franz-Sebek-Straße;Wien;49000001;16.4229102;48.2698904
3105;60201133;Ruthnergasse;Wien;49000001;16.4180593;48.2723418
3106;60201268;Skraupstraße;Wien;49000001;16.4137653;48.2742372
3107;60200483;Haspingerplatz;Wien;49000001;16.4052313;48.2775434
3108;60200598;Großjedlersdorf, Jochbergengasse;Wien;49000001;16.4012249;48.2799407
3109;60201248;Siemensstraße S;Wien;49000001;16.4197571;48.2711819
3110;60200531;Blumengärten Hirschstetten;Wien;49000001;16.4717336;48.2358204
3111;60200896;Murraygasse;Wien;49000001;16.4747610;48.2363589
3112;60200403;Gladiolenweg;Wien;49000001;16.4790459;48.2377171
3113;60200038;Zanggasse;Wien;49000001;16.4841663;48.2391530
3114;60200038;Zanggasse;Wien;49000001;16.4851095;48.2389616
3115;60201048;Prinzgasse;Wien;49000001;16.4820014;48.2400026
3117;60200896;Murraygasse;Wien;49000001;16.4744915;48.2364846
3118;60200531;Blumengärten Hirschstetten;Wien;49000001;16.4716797;48.2359221
3119;60200325;Giefinggasse;Wien;49000001;16.4260184;48.2680427
3120;60200495;Heinrich-von-Buol-Gasse;Wien;49000001;16.4278060;48.2671099
3121;60201277;Sorgenthalgasse;Wien;49000001;16.4321808;48.2659976
3122;60200260;Strebersdorf, Meriangasse;Wien;49000001;16.3846689;48.2913519
3123;60201135;Rußbergstrasse;Wien;49000001;16.3834292;48.2878254
